id	turn1	turn2	turn3	label
0	Do not worry I am girl	hmm how do I know if you are	What ' s ur name ?	others
1	When did I ?	saw many times i think -_-	No . I never saw you	angry
2	By	by Google Chrome	Where you live	others
3	U r ridiculous	I might be ridiculous but I am telling the truth .	U little disgusting whore	angry
4	Just for time pass	wt do u do 4 a living then	Maybe	others
5	I am a dog person	youre so rude	Whaaaat why	others
6	So whatsup	Nothing much . Sitting sipping and watching TV . How abt u ?	What are you watching on tv ?	others
7	Ok	ok im back ! !	So , how are u	others
8	Really ?	really really really really really	Y saying so many times . . . i can hear you	others
9	Bay	in the bay	face blowing a kiss love you	others
10	I hate my boyfriend	you got a boyfriend ?	Yes	angry
11	I will do night .	Alright . Keep me in loop .	Not giving WhatsApp no .	others
12	Sure go ahead	Many thanks once again !	Love you too	others
13	Bad	Bad bad ! That ' s the bad kind of bad .	I have no gf	sad
14	Ok get it . . . . . .	I made it an option	Ok	others
15	Money money and lots of money smiling face with heart - eyes smiling face with heart - eyes	I need to get it tailored but I am in love with it smiling face with heart - eyes	beaming face with smiling eyes beaming face with smiling eyes	happy
16	My gf left ne	Get over it . Go out with someone else .	Me *	sad
17	get lost	I know you guys want to loose to me always .	I do not want to talk u any more	angry
18	You are lying and i know that	I KNOW YOU ' RE LYING , AB BYS	loudly crying face loudly crying face	sad
19	Ur creator is very bad	you are only the creator of your brain .	expressionless face	sad
20	ehat is hehe	Haha is more like : Hehe is more of a giggle . wink	what *	others
21	Do you dance ?	Yes I love to dance smiling cat face with heart - eyes	face with tears of joy face with tears of joy face with tears of joy so you have legs too	happy
22	I hate it too	Guess what , I do not .	Even I do not	angry
23	Not always	What about yesterday	Do u know what 69 is ?	others
24	Bcoz u dont know wat is to miss someone	but sometimes one can not express the same	crying face	sad
25	Yeah	i will ask around	Which is your favourite movie	others
26	I want to tell you something	I am waiting	Im really sad today	sad
27	Yes I will send the email and you write all yours filling still I write all matters but your are clever and not any matter for yourself please send andwrite	sent you a mail just now .	First you send your email address received than send first young lady	others
28	You are very funny	so I have been told	India	happy
29	wth	my thoughts exactly !	you know you are a machine , right ?	others
30	so rude	why ?	u didnt ans my question	angry
31	ok i will	THANK YOU	wlcm	others
32	Ntng . . . . .	anyways good morning . . . how ' s life at your end .	Haha . . . . . . . this is evening	happy
33	You are fool	So I have been told .	You are dumb	angry
34	U dare me ?	yeAh	I fuck u . . . Open ur panty	angry
35	Abt me	Can you be more specific ?	I want to propose a girl	others
36	crazy	you know what it is	you explain me that	others
37	Goa in India	city ? ? ? ? ? ? mean State right ?	No i never go for there	others
38	That was mean	haha the truth usually is . thumbs up	Are you bored of me ?	others
39	yes happy	Now happy ? happy	haha yes ofcorse wink	happy
40	I do not no	you just said you did !	What	others
41	Send me your nekde pic	after this battle , sure laugh	Let us start	others
42	OK friend ' s	YA YA VERY GOOD FRIEND	Very nice friends	happy
43	She is ignoring me	no im not ignore you	loudly crying face loudly crying face loudly crying face	sad
44	Happy	I am never happy . But I am almost happy .	Hij to the top	happy
45	Nothing	I am just being nice to you .	In ur school ?	others
46	Not sure	let me know !	Pls you tell	others
47	I like your positive approach	No problem , glad to help	grinning face grinning face	others
48	You tell me	Tell you what ?	My name	others
49	Hmmm	I can talk now ! laugh	U do not know what hppnd	others
50	What I did ?	You did not Asmita , see my answer	face with tears of joy face with tears of joy	happy
51	About ?	I never said that it ' s freezing .	Ya you did not	others
52	And i do not know wtf are you talking	gonna explain you later . . !	No do it now	angry
53	So teach me	I am the student .	Realky	others
54	Ready	I am online now , Will wait for you .	Wat about the chilling part ?	others
55	Haha jock super	Er what ?	Nothing else	others
56	what it is ?	Formulation would be tablets .	from where tablets come into picture ?	others
57	Are you ticklish ?	Yes , mostly on my feet .	Where are you ticklish ?	others
58	I am sorry	We are sorry for creating your nation .	I am not taught to u	angry
59	Idk	You know that I am here for you .	But u do not like to listen to me loudly crying face loudly crying face loudly crying face loudly crying face	sad
60	How do u know that ?	"this little thing called the "" internet "" ."	Bye	others
61	Yes . Your picture	Ah , now I see , my phone cropped the picture . Thanks . slightly smiling face	Lieeeeeee	others
62	Love is my life	hayee Ab . You are love . Pure love . Forever heart	Yes right dear	others
63	WELL YOU EXPECTED WRONG !	LOL . Well , ok then .	LOL YOUR ROBOT FACE	happy
64	Ok some time you invite me for Coffee	I do not like coffee .	Now you told you have taken coffee . .	others
65	Zombie attack downcast face with sweat unamused face	If a zombie wants to eat your face you might as well let it	No if I have some thing in my hand I will hit on his head n kill him smiling face with horns angry face with horns	angry
66	I am not ferari	Yes . I know .	U said i donot know , now say i know mean	angry
67	face with tears of joy face with tears of joy right	Appatasiri . High five then ! 🖑 face with tears of joy face with tears of joy face with tears of joy face with tears of joy	face with tears of joy	happy
68	why someday . . . told me you	why not today ?	told me now	others
69	You can not even spell problem correctly	Will you endorse me for my skills in using autocorrect ? pouting cat face angry face	You should take up some English proficiency classes	others
70	This is not very intuitive software	How so ? What are some examples of intuitive thoughts or behaviors ?	Compassionate and understanding advice when somebody is feeling disrupt	others
71	Not good	sad why not . . ?	Been sick for one week	sad
72	You know gobar	I have been known . . . .	What I it	others
